month,KC,Chicago,Houston,OKCity,Omaha,LittleRock
1,3120,2130,3945,14020,5045,4610
2,3090,2290,4000,13890,5030,4630
3,3140,2405,4105,13785,5075,4650
4,3010,2580,4300,13575,5015,4680
5,2900,2635,4255,13345,5015,4700
6,2990,2690,4420,12990,5020,4750
7,3000,2740,4540,12340,5025,4800
8,3030,2780,4670,11850,5050,4865
9,3050,2890,4820,11010,5010,4910
10,2970,2940,4780,10015,5010,4980
11,2980,3000,4900,9875,5015,5000
12,2990,3020,5020,9005,5015,5010
13,3020,3120,5045,8880,5010,4950
14,3100,3180,4945,7990,5015,4900
15,2900,3210,4855,7345,5020,4845
16,3000,3270,4780,6920,5020,4800
17,3040,3455,4650,6745,5010,4785
18,3060,3575,4535,6010,5015,4740
19,2950,3765,4475,5670,5040,4700
20,2970,3810,4330,5345,5010,4695
21,2990,3910,4325,5110,5020,4690
22,3060,3990,4155,4760,5010,4680
23,3000,4010,4090,4320,5015,4670
24,3010,4030,4010,4030,5010,4660
